processing_unit,agent_name,agent_x,agent_y,hab_name,hab_type,hab_water_depth,hab_salinity,hab_food,hab_distance,prob_overall,prob_water,prob_salinity,prob_food,prob_distance,has_moved
1,5-5cm,0.7256896677816738,0.5180742801148986,lagoon-orange-sm,1,0.05,80,0.3,0.19300259065618774,0.05408530584398242,211.20981862999375,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
1,3-30cm,0.28581178189211653,0.30526689141484276,lagoon-blue,2,1.0,10,6.41,0.5042320894191483,0.0009392933966238285,44.71,0.0084,0.0084,0.003300792461701698,True
1,6-30cm,0.7462870319269561,0.6629439638034692,lagoon-orange-sm,1,0.05,80,0.3,0.19300259065618774,0.019803091302708506,77.33352445900297,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
1,3-5cm,0.7065066566176454,0.6633086764545885,lagoon-orange-sm,1,0.05,80,0.3,0.19300259065618774,0.05408530584398242,211.20981862999375,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
1,1-30cm,0.4012565108846978,0.33422903775880386,lagoon-blue,2,1.0,10,6.41,0.5042320894191483,0.0009392933966238285,44.71,0.0084,0.0084,0.003300792461701698,True
1,4-30cm,0.29855730197794994,0.34198260436571903,lagoon-blue,2,1.0,10,6.41,0.5042320894191483,0.0009392933966238285,44.71,0.0084,0.0084,0.003300792461701698,True
1,2-30cm,0.7436766897747003,0.6029280065059129,lagoon-orange-sm,1,0.05,80,0.3,0.19300259065618774,0.019803091302708506,77.33352445900297,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
1,3-10cm,0.7262533131447495,0.7390823997858432,lagoon-orange-sm,1,0.05,80,0.3,0.19300259065618774,0.029050082991522938,113.44417238806251,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
1,1-60cm,0.639455871831919,0.21892067036698082,lagoon-green,3,0.4,25,11.53,0.2061552812808832,0.000999976501407198,12.5,0.042899999999999994,0.042899999999999994,0.0013702990814785355,True
1,1-10cm,0.7316630602459614,0.6404620775293199,lagoon-orange-sm,1,0.05,80,0.3,0.19300259065618774,0.029050082991522938,113.44417238806251,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
1,5-60cm,0.755837440026828,0.7059330475941545,lagoon-orange-sm,1,0.05,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
1,1-5cm,0.7073303918694168,0.6690575949716948,lagoon-orange-sm,1,0.05,80,0.3,0.19300259065618774,0.05408530584398242,211.20981862999375,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
1,4-60cm,0.7839781472447218,0.7892872829750582,lagoon-orange-sm,1,0.05,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
1,7-30cm,0.3639304282979131,0.39145956856082054,lagoon-blue,2,1.0,10,6.41,0.5042320894191483,0.0009392933966238285,44.71,0.0084,0.0084,0.003300792461701698,True
1,3-60cm,0.3103455162901605,0.33433270559234773,lagoon-blue,2,1.0,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
1,5-30cm,0.2597264485451526,0.3061913630441824,lagoon-blue,2,1.0,10,6.41,0.5042320894191483,0.0009392933966238285,44.71,0.0084,0.0084,0.003300792461701698,True
